UID,교회명,국가/지역,주소,담임,전도인수,사진URL
420,"인천서부교회","대한민국","인천광역시 서구 가정동 546 한신그랜드힐빌리지 상가 3층","오성용 담임목사",2,""
590,"인천영종교회","대한민국","인천광역시 중구 운남로 82번길 22-1","심지흔 담임목사",1,"https://file1.jbch.org/guide/590/590_2025062421300926593_jamestyle.jpg"
1094,"인천중부교회","대한민국","인천 부평구 안남로 261 전방프라자 3층","박정현 담임목사",1,""
86,"일산교회","대한민국","경기도 고양시 일산서구 송산로 499-32","나상법 담임목사",6,"https://file1.jbch.org/guide/86/86_2020091819155705990_skygoodksh.jpg"
320,"임실교회","대한민국","전북 임실군 임실읍 봉황로 64-8","박영선 담임목사",1,""
310,"임자교회","대한민국","전남 신안군 임자면 임자로 272(이흑암리 153-27)","김인근 담임목사",1,"https://file1.jbch.org/guide/310/310_2020011017562736970_hapostle.jpg"
21,"장성교회","대한민국"," 전남 장성군 장성읍 문화로 15-27 구) 전남 장성군 장성읍 영천리 1465-13","윤희준 담임목사",1,"https://file1.jbch.org/guide/21/21_2025120720444531075_hjyoun.jpg"
131,"장수교회","대한민국","전북 장수군 장수읍 장천로 147","최영조 담임목사",1,"https://file1.jbch.org/guide/131/131_2017042515155094425_kimks.jpg"
30,"장흥교회","대한민국","전남 장흥군 장흥읍 용두1길 28","양창진 담임목사",1,"https://file1.jbch.org/guide/30/30_2026012810011833826_hosanna.jpg"
498,"장흥남부교회","대한민국","59365 전라남도 장흥군 대덕읍 거정4길 15-9","이민웅 담임목사",1,"https://file1.jbch.org/guide/498/498_2021011118125025313_yjchoi.jpg"
10,"전주교회","대한민국","전북 전주시 덕진구 안덕원로 311-21(인후동1가)","서도석 담임목사",11,"https://file1.jbch.org/guide/10/10_2018022211100935262_kjs214.png"
422,"전주남부교회","대한민국","우)560-283 전북 전주시 완산구 난전들로 100-7(평화동 3가 259-4)","강명수 담임목사",1,"https://file1.jbch.org/guide/422/422_2021123115284233091_yoonjk5618.jpg"
509,"전주동부교회","대한민국","전북 완주군 봉동읍 낙평동서로 26-30","홍석환 담임목사",1,"https://file1.jbch.org/guide/509/509_2018051018434695239_choiyw.png"
227,"전주북부교회","대한민국","전북특별자치도 완주군 삼례읍 삼례나들목로 324-10 전주북부교회","신길재 담임목사",1,"https://file1.jbch.org/guide/227/227_2018040713125718696_po515.jpg"
204,"정선교회","대한민국","강원도 정선군 정선읍 어천길 39(애산리 660-1)","윤영균 담임목사",1,"https://file1.jbch.org/guide/204/204_2022121200583889278_lhj0725.jpg"
537,"정안교회","대한민국","충남 공주시 정안면 가락골길 169","",0,"https://file1.jbch.org/guide/537/537_2024012211435449836_bgh97001.jpg"
8,"정읍교회","대한민국","56194 전라북도 정읍시 금붕1길 37(상동)","최기동 담임목사",2,"https://file1.jbch.org/guide/8/8_2017072316141228322_msp0506.jpg"
6,"제주교회","대한민국","제주특별자치도 제주시 애월읍 상귀장수물길 58-30","김광호 담임목사",2,"https://file1.jbch.org/guide/6/6_2018071510081730171_redfk.jpg"
231,"제주동부교회","대한민국","제주특별자치도 서귀포시 성산읍 일주동로 4456","송주성 담임목사",1,""
976,"제주중부교회","대한민국","제주시 중앙로 265 성우빌딩 6층","허민호 담임목사",1,"https://file1.jbch.org/guide/976/976_2022050816145612993_redfk.jpg"
61,"제천교회","대한민국","충북 제천시 의병대로 310-1  (두학동 1101-3번지 )","김성태 담임목사",1,""
492,"증평교회","대한민국","충북 증평군 증평읍 초중리 535-2 3층","김진배 담임목사",1,"https://file1.jbch.org/guide/492/492_2024111814493031671_robin0922.png"
20,"지도교회","대한민국","전남 신안군 지도읍 봉리길 58 (광정리 1188-1)","심방식 담임목사",1,""
19,"진도교회","대한민국","58928 전남 진도군 진도읍 남산2길 51-41","정병한 담임목사",1,"https://file1.jbch.org/guide/19/19_2025101711083877307_jesuskbo.jpg"
9,"진안교회","대한민국","전북 진안군 진안읍 대광3길 14","홍정호 담임목사",1,""
41,"진주교회","대한민국","경남 진주시 하대로 34번길 28 (하대1동 593-15)","남석현 담임목사",3,"https://file1.jbch.org/guide/41/41_2023121822040838267_kcs0522.jpg"
143,"진천교회","대한민국","충북 진천군 진천읍 문화로 91-45 (교성리 83-2)","박상용 담임목사",1,"https://file1.jbch.org/guide/143/143_2024122901535553321_sobiza.jpg"
110,"진해교회","대한민국","645-320 경남 창원시 진해구 천자로421번길 19 (풍호동 818-4)","문우식 담임목사",1,""
40,"창원교회","대한민국","경남 창원시 의창구 동읍 동읍로 224번길 21","장관익 담임목사",2,"https://file1.jbch.org/guide/40/40_2018042611211794709_chltldo123.jpg"
482,"창원중부교회","대한민국","(642-829)경상남도 창원시 성산구 동산로 72번길 16, 501호. 구주소 : 성산구 상남동 49-1 명성상가 5층","전용선 담임목사",1,"https://file1.jbch.org/guide/482/482_2022123010473507983_icetank8750.jpg"
65,"천안교회","대한민국","충남 천안시 서북구 업성동 업성2길 3-6  천안교회","양용철 담임목사",6,"https://file1.jbch.org/guide/65/65_2023102215003977260_media5077.jpg"
1087,"천안남부교회","대한민국","충남 천안시 동남구 통정12로 103","우종기 담임목사",1,""
